customer_id,account_num,product_id,prod_name,prod_type,prod_risk_grade,issue_date,balance_amt,eval_amt,profit_rate
C2026001,110-001-000001,ELS-2026-0417,나루 주가연계증권 제417회,ELS,1,2025-09-15,80000000,82512000,3.14
C2026001,110-001-000002,FND-2026-0102,나루글로벌인컴증권투자신탁,펀드,3,2025-10-09,45000000,48289500,7.31
C2026001,110-001-000003,DEP-2026-0011,나루 으뜸 정기예금,예금,5,2024-10-04,30000000,30981000,3.27
C2026001,110-001-000004,ISA-2026-0003,나루 중개형 ISA,ISA,3,2024-02-09,27000000,25099200,-7.04
C2026002,110-002-000001,ELS-2026-0418,나루 주가연계증권 제418회,ELS,2,2026-06-13,30000000,27492000,-8.36
C2026002,110-002-000002,FND-2025-0088,나루코리아배당주증권투자신탁,펀드,2,2025-02-22,28000000,30144800,7.66
C2026002,110-002-000003,DEP-2026-0011,나루 으뜸 정기예금,예금,5,2024-05-14,25000000,25640000,2.56
C2026002,110-002-000004,ISA-2026-0003,나루 중개형 ISA,ISA,3,2024-07-01,13000000,14496300,11.51
C2026003,110-003-000001,ELS-2026-0418,나루 주가연계증권 제418회,ELS,2,2026-07-02,12000000,11388000,-5.1
C2026003,110-003-000002,DEP-2026-0025,나루 주거래 적금,적금,5,2025-11-18,6000000,6164400,2.74
C2026003,110-003-000003,ISA-2026-0003,나루 중개형 ISA,ISA,3,2025-04-17,5000000,4862500,-2.75
C2026004,110-004-000001,DEP-2026-0011,나루 으뜸 정기예금,예금,5,2024-08-03,15000000,15344999,2.3
C2026004,110-004-000002,PEN-2024-0007,나루 연금저축보험,연금,5,2025-03-25,6000000,6109200,1.82
C2026004,110-004-000003,DEP-2026-0025,나루 주거래 적금,적금,5,2024-04-03,2800000,2884280,3.01
C2026005,110-005-000001,ELS-2026-0417,나루 주가연계증권 제417회,ELS,1,2026-03-20,50000000,46360000,-7.28
C2026005,110-005-000002,ELS-2026-0418,나루 주가연계증권 제418회,ELS,2,2026-06-16,25000000,25069999,0.28
C2026005,110-005-000003,FND-2026-0102,나루글로벌인컴증권투자신탁,펀드,3,2024-12-23,26000000,26434200,1.67
C2026005,110-005-000004,DEP-2026-0011,나루 으뜸 정기예금,예금,5,2024-06-02,20000000,20548000,2.74
C2026006,110-006-000001,FND-2026-0102,나루글로벌인컴증권투자신탁,펀드,3,2024-06-07,4000000,4230800,5.77
C2026006,110-006-000002,DEP-2026-0025,나루 주거래 적금,적금,5,2024-11-15,3000000,3088500,2.95
C2026006,110-006-000003,ISA-2026-0003,나루 중개형 ISA,ISA,3,2024-02-29,1900000,1881190,-0.99
C2026007,110-007-000001,ELS-2026-0417,나루 주가연계증권 제417회,ELS,1,2025-11-02,120000000,120599999,0.5
C2026007,110-007-000002,FND-2025-0088,나루코리아배당주증권투자신탁,펀드,2,2025-11-23,50000000,47625000,-4.75
C2026007,110-007-000003,FND-2026-0102,나루글로벌인컴증권투자신탁,펀드,3,2025-09-09,40000000,38640000,-3.4
C2026007,110-007-000004,DEP-2026-0011,나루 으뜸 정기예금,예금,5,2024-04-09,35000000,35913500,2.61
C2026008,110-008-000001,DEP-2026-0011,나루 으뜸 정기예금,예금,5,2025-10-22,10000000,10228000,2.28
C2026008,110-008-000002,PEN-2024-0007,나루 연금저축보험,연금,5,2024-11-05,4800000,4897440,2.03
C2026008,110-008-000003,FND-2026-0102,나루글로벌인컴증권투자신탁,펀드,3,2024-08-22,2400000,2352240,-1.99
C2026009,110-009-000001,DEP-2026-0011,나루 으뜸 정기예금,예금,5,2026-05-21,20000000,20424000,2.12
C2026009,110-009-000002,PEN-2024-0007,나루 연금저축보험,연금,5,2025-11-13,9000000,9283500,3.15
C2026009,110-009-000003,DEP-2026-0025,나루 주거래 적금,적금,5,2024-12-17,2000000,2046400,2.32
C2026010,110-010-000001,FND-2025-0088,나루코리아배당주증권투자신탁,펀드,2,2025-06-10,7000000,7281400,4.02
C2026010,110-010-000002,ISA-2026-0003,나루 중개형 ISA,ISA,3,2025-01-29,3000000,3350100,11.67
C2026010,110-010-000003,DEP-2026-0025,나루 주거래 적금,적금,5,2026-03-08,1800000,1848239,2.68
C2026011,110-011-000001,ELS-2026-0417,나루 주가연계증권 제417회,ELS,1,2026-04-10,40000000,37672000,-5.82
C2026011,110-011-000002,FND-2026-0102,나루글로벌인컴증권투자신탁,펀드,3,2025-08-15,22000000,22083600,0.38
C2026011,110-011-000003,DEP-2026-0011,나루 으뜸 정기예금,예금,5,2026-06-10,18000000,18502200,2.79
C2026011,110-011-000004,ISA-2026-0003,나루 중개형 ISA,ISA,3,2025-08-29,8000000,8035200,0.44
C2026012,110-012-000001,DEP-2026-0025,나루 주거래 적금,적금,5,2024-08-14,1500000,1541700,2.78
C2026012,110-012-000002,ISA-2026-0003,나루 중개형 ISA,ISA,3,2025-09-15,1200000,1179240,-1.73
C2026012,110-012-000003,FND-2026-0102,나루글로벌인컴증권투자신탁,펀드,3,2024-11-23,900000,908730,0.97
